stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,0.5,20.0,74.45779687000322,,74.44649612100329,74.45779687000322,74.94656959699932,0.5056497969999327,74.96463506999862,,75.21405711999978,left,-20.0,0,0,0.2509011180009111,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
50,0.5,20.0,75.22547588100133,,75.21425622000243,75.22547588100133,75.72726693200093,0.5010953640012303,75.72726693200093,,75.98454325400235,left,-20.0,0,0,0.2652940329935518,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
51,0.5,20.0,75.99681316399801,,75.9847316919986,75.99681316399801,76.490700827002,0.5109349210033542,76.50782948100095,,76.69952580000245,left,-20.0,0,0,0.19533193400275195,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
52,0.5,20.0,76.71290600299835,,76.6997140300009,76.71290600299835,77.2074715359995,0.5132358820046647,77.22477288100345,,77.45118952699704,right,20.0,1,1,0.23044261900213314,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
53,0.5,20.0,77.46330222499819,,77.45139418799954,77.46330222499819,77.9570933119976,0.5110261649970198,77.97470790499938,78.26020789900213,78.26842578200012,right,20.0,1,1,0.3025794849963859,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
54,0.5,20.0,78.28072716099996,,78.26861492700118,78.28072716099996,78.77664585100138,0.5135650000011083,78.79396776200156,79.07598573200085,79.08490363400051,left,-20.0,1,1,0.2985245969975949,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
55,0.5,19.5,79.09695235399704,,79.0850923820035,79.09695235399704,79.59333190799953,0.5152589910067036,79.61324181500095,79.89207047100354,79.93163790999824,right,19.5,0,0,0.3224382379994495,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
56,0.5,20.0,79.94353868500184,,79.93183699200017,79.94353868500184,80.44168549199821,0.515309875998355,80.45884085899888,80.74182971600385,80.76789447299961,left,-20.0,1,1,0.3038328190013999,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
57,0.5,20.0,80.77988593400369,,80.76809875300387,80.77988593400369,81.27413859200169,0.5124968080053804,81.29187391300366,81.57591846900323,81.63396776199806,left,-20.0,0,0,0.3492577170036384,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
58,0.5,20.0,81.64596415199776,,81.63416164700175,81.64596415199776,82.14095592399826,0.5143138269995688,82.16052281400334,82.44401230700169,82.56715604600322,left,-20.0,1,1,0.4020893100023386,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
59,0.5,20.0,82.57934892600315,,82.56733806199918,82.57934892600315,83.07449688499764,0.5137729320049402,83.09236681200127,83.37728886400146,83.57362182399811,right,20.0,1,1,0.48997248800151283,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
60,0.5,20.0,83.58747083700291,,83.573813918003,83.58747083700291,84.0911059880018,0.505027509003412,84.0911059880018,84.3764405969996,84.41779377600324,left,-20.0,1,1,0.33113996700558346,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
61,0.5,19.5,84.43000028900133,,84.4179818249977,84.43000028900133,84.9384671250009,0.5060411700033001,84.9384671250009,85.2260620599991,85.23336432500219,right,19.5,1,1,0.30277910600125324,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
62,0.5,19.5,85.24538409600063,,85.23355237799842,85.24538409600063,85.74270919500123,0.5151327350031352,85.76037479899969,,85.98477971099783,right,19.5,0,0,0.2310321839977405,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
63,0.5,20.0,85.99721782700362,,85.98497079299705,85.99721782700362,86.49348054700386,0.514201434001734,86.50998255099694,,86.72769189099927,right,20.0,1,1,0.22589027900539804,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
64,0.5,20.0,86.74059325700364,,86.72800045699842,86.74059325700364,87.24366177000047,0.5038835989980726,87.24366177000047,,87.48398669999733,right,20.0,0,0,0.24216367400367744,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
65,0.5,20.0,87.49597886399715,,87.48417291700025,87.49597886399715,87.99372468000365,0.5161133059955318,88.01179606300138,,88.18570402199839,left,-20.0,0,0,0.17887596200307598,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
66,0.5,20.0,88.19788519300346,,88.18589282700123,88.19788519300346,88.69321821499761,0.5137220830001752,88.71119299499696,88.99301196099987,89.0352059900033,right,20.0,0,0,0.3311312360019656,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
67,0.5,20.0,89.04735186700418,,89.03539402400202,89.04735186700418,89.54458939000324,0.5150196600006893,89.56185007900058,,89.81805429600354,right,20.0,1,1,0.2624507439977606,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
68,0.5,20.0,89.8302007040038,,89.81824315300037,89.8302007040038,90.32677731900185,0.5156359399989014,90.3455065540038,,90.41705175300012,left,-20.0,1,1,0.07174253200355452,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
69,0.5,20.0,90.42927221600257,,90.41723349499807,90.42927221600257,90.92562896599702,0.5147351860068738,90.9433563470011,91.22933189399919,91.21718761199736,right,20.0,0,0,0.27684449600201333,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
70,0.5,20.0,91.22933189399919,,91.21737125200161,91.22933189399919,91.72670011100126,0.5172261179977795,91.74709093799902,,91.96701050899719,right,20.0,1,1,0.2232316390000051,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
71,0.5,20.0,91.97912343400094,,91.96720769700187,91.97912343400094,92.47976368600212,0.4992897750053089,92.49634229799995,,92.56713115500315,right,20.0,1,1,0.08933718499611132,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
72,0.5,20.0,92.57917874200211,,92.56731403499725,92.57917874200211,93.07733444999758,0.5155164050011081,93.09420189999946,,93.13601998700324,left,-20.0,1,1,0.046434651005256455,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
73,0.5,19.5,93.14808762900066,,93.13621173999854,93.14808762900066,93.65673134000099,0.5001008160033962,93.65673134000099,93.94624346699857,93.98614903099951,right,19.5,0,0,0.3427716349979164,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
74,0.5,20.0,93.99829705800221,,93.98633512900415,93.99829705800221,94.49525799800176,0.5134805859997869,94.51039210500312,,94.55198656800349,right,20.0,0,0,0.04766259899770375,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
75,0.5,20.0,94.56300098000065,,94.55217169300158,94.56300098000065,95.06187018699711,0.5141497149961651,95.06187018699711,,95.2048976340011,right,20.0,1,1,0.13607983299880289,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
76,0.5,20.0,95.21680979400116,,95.20508794399939,95.21680979400116,95.71362765900267,0.5129767109974637,95.73136751700076,,95.87085763699724,right,20.0,0,0,0.1454348389961524,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
77,0.5,20.0,95.8829380169991,,95.87106166200101,95.8829380169991,96.37780902899976,0.5122591530016507,96.39483891700365,,96.43558853700233,left,-20.0,1,1,0.036546818002534565,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
78,0.5,20.0,96.44777710400376,,96.43577721399924,96.44777710400376,96.94579909899767,0.5143950790006784,96.94579909899767,,97.05324219499744,right,20.0,1,1,0.09522905799531145,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
79,0.5,20.0,97.06531893499778,,97.05342679000023,97.06531893499778,97.5627397040007,0.5137856779983849,97.5627397040007,,97.60075474400219,right,20.0,1,1,0.02995177000411786,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
80,0.5,19.5,97.61202208400209,,97.60094550299982,97.61202208400209,98.11027821800235,0.5165187269958551,98.12915072900068,,98.15241514999798,right,19.5,1,1,0.018460721999872476,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
81,0.5,19.5,98.16504702300153,,98.15259552300267,98.16504702300153,98.66426822500216,0.4993308899938711,98.68092890000116,,98.72069385000214,right,19.5,1,1,0.061554962005175184,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
82,0.5,19.5,98.73290356300276,,98.72087876500154,98.73290356300276,99.22713539499819,0.5123921720005455,99.24498113300069,,99.25269076599943,left,-19.5,0,0,0.014368691998242866,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
83,0.5,20.0,99.26511870400282,,99.2528814210018,99.26511870400282,99.76005732500198,0.5129052619959111,99.77899490699929,,99.90470039199863,left,-20.0,1,1,None,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
84,0.5,20.0,99.91616203299782,,99.90489336199971,99.91616203299782,100.4123170649982,0.5127932410032372,100.42937995999819,100.70953736299998,100.7524119869995,left,-20.0,0,0,0.33076774399523856,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
85,0.5,20.0,100.76506315400184,,100.75260404100118,100.76506315400184,101.25976262600307,0.5130353679996915,101.27708303100371,,101.43565974800003,right,20.0,1,1,0.16784377799922368,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
86,0.5,20.0,101.44799855400197,,101.43585035300202,101.44799855400197,101.94146377399738,0.5115961349947611,101.95852324300358,,102.0168085059995,right,20.0,0,0,0.06638756699976511,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
87,0.5,20.0,102.02813578899804,,102.01701038300234,102.02813578899804,102.52716145799786,0.5171010519989068,102.54593602100067,,102.571596021,left,-20.0,0,0,0.030115098001260776,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
88,0.5,20.0,102.58341725100036,,102.57178317000216,102.58341725100036,103.07623246900039,0.5101438889978454,103.09334510799818,,103.16971005599771,left,-20.0,0,0,0.08054504100437043,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
89,0.5,20.0,103.18213165400084,,103.169901235,103.18213165400084,103.67584542999975,0.5118349460026366,103.6941197940032,,103.92021469100291,right,20.0,0,0,None,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
90,0.5,20.0,103.93320475600194,,103.92050281199772,103.93320475600194,104.42833122400043,0.5128261049976572,104.44477667200408,,104.4530879399972,left,-20.0,0,0,0.013725238000915851,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
91,0.5,20.0,104.4652612179998,,104.4532778549983,104.4652612179998,104.96272068699909,0.5138975920053781,104.98044500799733,,105.08412530700298,right,20.0,0,0,0.10680699300428387,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
92,0.5,20.0,105.09668927500024,,105.08431638799811,105.09668927500024,105.59515135399852,0.515884341999481,105.61174670000037,,105.68501529299829,right,20.0,1,1,0.07618505400023423,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
93,0.5,20.0,105.69707615800144,,105.68520852499933,105.69707615800144,106.19322393099719,0.5140617439974449,106.21085014999699,,106.25286185400182,left,-20.0,1,1,0.05114150100416737,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
94,0.5,20.0,106.26499166499707,,106.25305394000316,106.26499166499707,106.76043564500287,0.5127746979997028,106.77956426900346,107.05945261599845,107.14677461399697,right,20.0,0,0,None,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
95,0.5,20.0,107.15810282200255,,107.14697109100234,107.15810282200255,107.66178789400146,0.5018688729978749,107.66178789400146,,107.89927936899767,right,20.0,1,1,0.2461894959997153,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
96,0.5,20.0,107.91100419699796,,107.89946188199974,107.91100419699796,108.40903902900027,0.51570006700058,108.4259677020018,,108.45119576500292,right,20.0,0,0,0.033727443995303474,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
97,0.5,20.0,108.46308539099846,,108.45138833099918,108.46308539099846,108.9591041120002,0.5137109240022255,108.9766271030021,109.26104379000026,109.60043380800198,left,-20.0,0,0,0.6258671340037836,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
98,0.5,20.0,109.61254641399864,,109.60062376999849,109.61254641399864,110.10936938100349,0.5147568809989025,110.12697681399732,,110.20152648600197,right,20.0,1,1,0.08118975000252249,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
99,0.5,20.0,110.21370809699874,,110.201709605004,110.21370809699874,110.71285327900114,0.49977933400077745,110.71285327900114,,110.81665686300403,left,-20.0,0,0,0.10390243199799443,113439,001,2024-09-10_13h15.53.252,adaptive,2024.2.1,None,2024-09-10 13h16.02.299812 +0530,
